ASM ID,YEAR,MONTH,DOMESTIC(IN THOUSANDS),INTERNATIONAL(IN THOUSANDS),TOTAL(IN THOUSANDS)
1,2003,1,9801309,4237389,14038698
2,2003,2,8476555,3665686,12142241
3,2003,3,9782676,4147309,13929984
4,2003,4,9336457,3874139,13210596
5,2003,5,9432542,3912655,13345197
6,2003,6,9477009,4280106,13757115
7,2003,7,10028508,4728775,14757282
8,2003,8,9937121,4725588,14662709
9,2003,9,9166289,4294746,13461035
10,2003,10,9620031,4343985,13964015
11,2003,11,9006214,4258190,13264404
12,2003,12,9512148,4494752,14006899
13,2004,1,9549791,4601140,14150931
14,2004,2,9250803,4334442,13585245
15,2004,3,10064912,4645930,14710842
16,2004,4,9745423,4670448,14415871
17,2004,5,9666776,4980580,14647356
18,2004,6,9763164,5085587,14848751
19,2004,7,9979086,5537698,15516784
20,2004,8,10010638,5496447,15507084
21,2004,9,8704450,4693408,13397857
22,2004,10,9335118,4954384,14289502
23,2004,11,9121793,4699694,13821488
24,2004,12,9631591,5064984,14696575
25,2005,1,9283530,5109701,14393231
26,2005,2,8615346,4669386,13284732
27,2005,3,9753725,5264376,15018101
28,2005,4,9313712,5271468,14585180
29,2005,5,9598325,5488379,15086704
30,2005,6,9683825,5588503,15272329
31,2005,7,10051042,5929906,15980948
32,2005,8,9783599,5699472,15483071
33,2005,9,8826889,5248185,14075074
34,2005,10,8882582,5194094,14076675
35,2005,11,8951655,4975890,13927545
36,2005,12,9190202,5334605,14524807
37,2006,1,9250645,5419143,14669788
38,2006,2,8290765,4840931,13131696
39,2006,3,9424489,5469144,14893633
40,2006,4,9087020,5510846,14597866
41,2006,5,9401853,5743932,15145785
42,2006,6,9152613,5659459,14812072
43,2006,7,9350637,5914922,15265559
44,2006,8,9363836,5837838,15201674
45,2006,9,8633028,5387210,14020238
46,2006,10,8903050,5429321,14332371
47,2006,11,8520257,4902136,13422394
48,2006,12,8979767,5360525,14340293
49,2007,1,9032155,5440494,14472649
50,2007,2,7970558,4743598,12714157
51,2007,3,9088622,5376901,14465523
52,2007,4,8706034,5346134,14052168
53,2007,5,9034995,5501955,14536950
54,2007,6,8635463,5383968,14019431
55,2007,7,9041140,5642940,14684080
56,2007,8,9063241,5659892,14723133
57,2007,9,8620279,5204915,13825194
58,2007,10,9029842,5265459,14295301
59,2007,11,8707815,5005368,13713183
60,2007,12,8766011,5479307,14245317
61,2008,1,8718002,5527518,14245521
62,2008,2,7965385,5011976,12977361
63,2008,3,8488064,5312467,13800531
64,2008,4,8211142,5241241,13452384
65,2008,5,8846853,5534318,14381171
66,2008,6,8413739,5440359,13854098
67,2008,7,8789659,5723917,14513576
68,2008,8,8816664,5735585,14552248
69,2008,9,7792648,5066543,12859190
70,2008,10,8080867,5209876,13290743
71,2008,11,7369659,5071493,12441152
72,2008,12,7710906,5305496,13016402
73,2009,1,7686773,5370298,13057071
74,2009,2,6969171,4695186,11664356
75,2009,3,7776516,5252587,13029102
76,2009,4,7524676,5109758,12634434
77,2009,5,7730227,5375073,13105300
78,2009,6,7509746,5275317,12785063
79,2009,7,7853030,5492114,13345145
80,2009,8,7828757,5352616,13181373
81,2009,9,7277174,4694653,11971827
82,2009,10,7506620,4811096,12317716
83,2009,11,7241264,4669283,11910547
84,2009,12,7576816,5008623,12585439
85,2010,1,7646377,5046285,12692662
86,2010,2,6747381,4427413,11174794
87,2010,3,7856191,5074004,12930195
88,2010,4,7547032,4823947,12370979
89,2010,5,7683687,5364917,13048604
90,2010,6,7540861,5411712,12952574
91,2010,7,7895298,5856359,13751657
92,2010,8,7867888,5729361,13597249
93,2010,9,7365414,5178675,12544089
94,2010,10,7536224,5337912,12874136
95,2010,11,7330311,4975569,12305880
96,2010,12,7598516,5211581,12810097
97,2011,1,7600197,5413495,13013692
98,2011,2,6734620,4791997,11526617
99,2011,3,7848905,5427948,13276853
100,2011,4,7489196,5359586,12848782
101,2011,5,7476771,5673592,13150363
102,2011,6,7591389,5601223,13192611
103,2011,7,7852845,6017095,13869940
104,2011,8,7658026,5774431,13432457
105,2011,9,7283834,5308566,12592399
106,2011,10,7375166,5414407,12789572
107,2011,11,6948355,4868339,11816694
108,2011,12,7267108,5383410,12650517
109,2012,1,7250445,5481025,12731470
110,2012,2,6935533,5131080,12066613
111,2012,3,7631878,5455015,13086893
112,2012,4,7164367,5227150,12391517
113,2012,5,7588588,5462093,13050681
114,2012,6,7315190,5499736,12814926
115,2012,7,7628634,5924841,13553475
116,2012,8,7487252,5713201,13200452
117,2012,9,6863371,5295312,12158683
118,2012,10,6981432,5366455,12347887
119,2012,11,6988686,5118803,12107489
120,2012,12,7402304,5566203,12968508
121,2013,1,7297779,5470904,12768683
122,2013,2,6599349,4927246,11526595
123,2013,3,7448475,5624620,13073094
124,2013,4,7050099,5401491,12451590
125,2013,5,7360003,5697200,13057203
126,2013,6,7334295,5846368,13180664
127,2013,7,7630531,6263972,13894503
128,2013,8,7628508,6150199,13778707
129,2013,9,6932514,5438270,12370784
130,2013,10,7273785,5569514,12843299
131,2013,11,6970610,5339049,12309659
132,2013,12,7237252,5859881,13097132
133,2014,1,7248275,5872089,13120364
134,2014,2,6476787,5230117,11706904
135,2014,3,7511342,5915060,13426402
136,2014,4,7112944,5697402,12810347
137,2014,5,7273816,5985906,13259722
138,2014,6,7369968,6157729,13527697
139,2014,7,7708058,6513340,14221397
140,2014,8,7473813,6233262,13707075
141,2014,9,6899673,5584213,12483886
142,2014,10,7205543,5714798,12920341
143,2014,11,6980360,5599038,12579397
144,2014,12,7629594,6035779,13665373
145,2015,1,7236544,5833975,13070520
146,2015,2,6282701,5152645,11435346
147,2015,3,7567841,5848098,13415939
148,2015,4,7490511,5656026,13146537
149,2015,5,7464600,6212718,13677318
150,2015,6,7608714,6344015,13952729
151,2015,7,13433644,8846111,22279755
152,2015,8,13040870,8641115,21681985
153,2015,9,11602588,7830880,19433468
154,2015,10,12077896,7643942,19721837
155,2015,11,11611497,6761840,18373337
156,2015,12,12323293,7638776,19962068
157,2016,1,11731985,7236974,18968959
158,2016,2,11307796,6700236,18008032
159,2016,3,12894677,7634767,20529443
160,2016,4,12094565,7661136,19755700
161,2016,5,12699221,8299663,20998885
162,2016,6,13337906,8504526,21842432
163,2016,7,13748059,8931410,22679468
164,2016,8,13197741,8636048,21833789
165,2016,9,11514602,7655037,19169639
166,2016,10,11966560,7655472,19622032
167,2016,11,11625958,6542171,18168129
168,2016,12,12339582,7550291,19889873
169,2017,1,11906091,7137120,19043211
170,2017,2,10817748,6369415,17187163
171,2017,3,12714264,7604403,20318667
172,2017,4,11951479,7995702,19947181
173,2017,5,12634340,8867560,21501900
174,2017,6,13080057,8967657,22047714
175,2017,7,13620668,9427143,23047811
176,2017,8,13438389,9096731,22535119
177,2017,9,11226666,7749431,18976097
178,2017,10,12275793,8200539,20476331
179,2017,11,11375384,6898397,18273781
180,2017,12,12482195,7871633,20353828
181,2018,1,12121308,7471579,19592887
182,2018,2,11176619,6701867,17878486
183,2018,3,12636079,7843723,20479802
184,2018,4,12204254,8217036,20421289
185,2018,5,12828585,8923273,21751858
186,2018,6,13207884,9050717,22258601
187,2018,7,13669488,9406862,23076350
188,2018,8,13457585,9186949,22644534
189,2018,9,12225585,8330569,20556154
190,2018,10,12787012,8218385,21005397
191,2018,11,12055161,6697640,18752801
192,2018,12,12538423,7523221,20061644
193,2019,1,12401865,7295076,19696941
194,2019,2,11507587,6514132,18021718
195,2019,3,13021888,7580296,20602184
