Flights ID,YEAR,MONTH,DOMESTIC,INTERNATIONAL,TOTAL
1,2003,1,65960,12254,78214
2,2003,2,56960,10503,67463
3,2003,3,65168,11957,77125
4,2003,4,62117,11065,73182
5,2003,5,62611,10770,73381
6,2003,6,62115,11528,73643
7,2003,7,64980,12912,77892
8,2003,8,64236,12895,77131
9,2003,9,60134,11117,71251
10,2003,10,62989,11245,74234
11,2003,11,56146,11457,67603
12,2003,12,59292,12323,71615
13,2004,1,58732,12147,70879
14,2004,2,55969,11387,67356
15,2004,3,60276,12143,72419
16,2004,4,58345,11823,70168
17,2004,5,58058,11917,69975
18,2004,6,58002,12356,70358
19,2004,7,58843,13741,72584
20,2004,8,58920,13662,72582
21,2004,9,52464,10805,63269
22,2004,10,56305,11504,67809
23,2004,11,54869,11652,66521
24,2004,12,57650,12701,70351
25,2005,1,55726,12826,68552
26,2005,2,51555,11860,63415
27,2005,3,58185,13251,71436
28,2005,4,55573,12574,68147
29,2005,5,57145,12847,69992
30,2005,6,56984,13426,70410
31,2005,7,59168,14354,73522
32,2005,8,58124,13531,71655
33,2005,9,52814,11752,64566
34,2005,10,53325,11464,64789
35,2005,11,53344,11476,64820
36,2005,12,54072,12518,66590
37,2006,1,54210,12882,67092
38,2006,2,48771,11699,60470
39,2006,3,55481,13207,68688
40,2006,4,53271,12715,65986
41,2006,5,55002,13029,68031
42,2006,6,53404,12913,66317
43,2006,7,54287,13520,67807
44,2006,8,54654,13327,67981
45,2006,9,50982,11802,62784
46,2006,10,52849,11951,64800
47,2006,11,50264,11348,61612
48,2006,12,52526,12715,65241
49,2007,1,52739,12980,65719
50,2007,2,46687,11365,58052
51,2007,3,53432,12875,66307
52,2007,4,50822,12487,63309
53,2007,5,52800,12677,65477
54,2007,6,50597,12350,62947
55,2007,7,53125,12979,66104
56,2007,8,53110,12905,66015
57,2007,9,50533,11496,62029
58,2007,10,53086,11624,64710
59,2007,11,50747,11406,62153
60,2007,12,50937,12624,63561
61,2008,1,50905,12736,63641
62,2008,2,46513,11643,58156
63,2008,3,49437,12415,61852
64,2008,4,47765,11968,59733
65,2008,5,52310,12518,64828
66,2008,6,50175,12118,62293
67,2008,7,52392,12766,65158
68,2008,8,52247,12859,65106
69,2008,9,47601,10566,58167
70,2008,10,49556,10890,60446
71,2008,11,44537,11402,55939
