Net Income ID,YEAR,MONTH,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,TOTAL
1,2003,1,-963145,-28634,-29409,-10401,-1031589
2,2003,2,-284473,30279,118489,2767,-132938
3,2003,3,-276719,79002,144784,28694,-24239
4,2003,4,-295354,63386,74234,28009,-129725
5,2004,1,-357163,92037,61890,21563,-181673
6,2004,2,-235756,32710,156040,34071,-12935
7,2004,3,-328165,-29392,117028,14653,-225876
8,2004,4,-393780,-27649,12713,8219,-400497
9,2005,1,-223297,33014,27244,-8113,-171152
10,2005,2,-45447,-14307,115314,-14836,40724
11,2005,3,-269074,-3100,136278,-24429,-160325
12,2005,4,-437179,-85680,-33565,-44542,-600966
13,2006,1,-108444,37553,-10455,-24511,-105857
14,2006,2,118615,46597,130574,-16307,279479
15,2006,3,-168282,51269,129004,-11261,730
16,2006,4,-131966,80720,38752,2018,-10476
17,2007,1,-100332,116720,35000,-244,51144
18,2007,2,83247,47505,126511,13345,270608
19,2007,3,-69245,66556,131710,17553,146574
20,2007,4,-204180,80518,5611,5506,-112545
21,2008,1,-339972,86496,-74323,-16111,-343910
22,2008,2,-1027770,-197453,-185177,-52332,-1462732
23,2008,3,-498176,90254,18052,-6302,-396172
24,2008,4,-42160,28392,-236507,-77663,-327938
25,2009,1,-305674,70892,-112440,-18439,-365661
26,2009,2,-240523,-57647,-64354,-27311,-389835
27,2009,3,-317411,2663,-36279,-25783,-376810
28,2009,4,-303419,41183,-56212,-25027,-343475
29,2010,1,-349238,-5733,-99168,-34647,-488786
30,2010,2,42431,-56922,10497,-2824,-6818
31,2010,3,80225,31100,16023,1235,128583
32,2010,4,16593,35656,-126799,-27647,-102197
33,2011,1,-428978,146499,-108290,-39742,-430511
34,2011,2,4049,24935,-194868,-118472,-284356
35,2011,3,-109514,214901,-148509,-110030,-153152
36,2011,4,-778126,-6258,-217752,-94946,-1097082
37,2012,1,-1068634,-213935,-251383,-142256,-1676208
38,2012,2,-192738,35982,-47361,-59632,-263749
39,2012,3,-318978,131260,-31803,-37401,-256922
40,2012,4,96976,221469,-10276,-37391,270778
41,2013,1,-219811,114791,-59546,-88282,-252848
42,2013,2,106718,103164,80866,-62992,227756
43,2013,3,40361,204265,113783,-68570,289839
44,2013,4,-1105174,-257172,-254591,-173517,-1790454
45,2014,1,245678,209896,-8070,-46815,400689
46,2014,2,226448,-1700,94547,-53884,265411
47,2014,3,297132,48275,157195,-37141,465461
48,2014,4,201553,50552,6832,-80760,178177
49,2015,1,303638,114534,61089,89627,568888
50,2015,2,624275,128827,179952,118490,1051543
51,2015,3,1098924,242532,269125,111562,1722143
52,2015,4,3542267,88080,45755,74005,3750106
53,2016,1,18836,306731,69018,315686,710272
54,2016,2,277899,298509,103518,292320,972247
55,2016,3,492520,177630,115350,-27389,758111
56,2016,4,384206,107984,-72353,-79254,340583
57,2017,1,329892,76730,-43458,-100575,262590
58,2017,2,691457,118670,86791,-70023,826895
59,2017,3,349281,228828,126497,-55905,648700
60,2017,4,280081,100842,-77823,-119549,183552
61,2018,1,132352,308068,-75869,-128485,236066
62,2018,2,398058,226664,82800,-88581,618941
63,2018,3,116472,224840,150423,-89159,402575
64,2018,4,382807,193458,-46326,-129454,400485
65,2019,1,167005,231467,-89519,-79097,229855
66,2019,2,472610,244123,90522,-93341,713914
67,2019,3,261135,276587,60010,-89836,507896
68,2019,4,415863,306697,-83894,-118206,520460
69,2020,1,-1735854,-15039,-304085,-114002,-2168980
70,2020,2,-1538580,-179163,-238928,-11343,-1968013
71,2020,3,-1476828,-240986,-385244,-172456,-2275515
72,2020,4,-1601905,-249328,-148488,-37291,-2037012
73,2021,1,-151957,-856832,-137161,-69666,-1215616
74,2021,2,656548,-175771,-369229,-60649,50899
75,2021,3,654880,-20934,-321401,-32194,280351
