PASSENGERS ID,YEAR,MONTH,DOMESTIC,INTERNATIONAL,TOTAL
1,2003,1,5659172,1354646,7013818
2,2003,2,5224456,1139470,6363926
3,2003,3,6307672,1320809,7628481
4,2003,4,5905978,1197107,7103085
5,2003,5,6217128,1230334,7447462
6,2003,6,6547986,1443436,7991422
7,2003,7,7007137,1735273,8742410
8,2003,8,6696062,1728088,8424150
9,2003,9,5268120,1244953,6513073
10,2003,10,5999944,1273217,7273161
11,2003,11,5444921,1336110,6781031
12,2003,12,5892720,1531539,7424259
13,2004,1,5474024,1472700,6946724
14,2004,2,5493738,1335590,6829328
15,2004,3,6425095,1534482,7959577
16,2004,4,6209747,1515225,7724972
17,2004,5,6080757,1480462,7561219
18,2004,6,6520178,1655385,8175563
19,2004,7,6717316,1974326,8691642
20,2004,8,6405790,1914936,8320726
21,2004,9,5323045,1387152,6710197
22,2004,10,6036514,1459969,7496483
23,2004,11,5816595,1439853,7256448
24,2004,12,6119982,1673795,7793777
25,2005,1,5781201,1666774,7447975
26,2005,2,5474420,1454258,6928678
27,2005,3,6835385,1835057,8670442
28,2005,4,6417216,1652015,8069231
29,2005,5,6691650,1698810,8390460
30,2005,6,7069026,1884730,8953756
31,2005,7,7365675,2173280,9538955
32,2005,8,6768181,2003276,8771457
33,2005,9,5902861,1558472,7461333
34,2005,10,6205866,1502640,7708506
35,2005,11,6333292,1509583,7842875
36,2005,12,6415544,1750277,8165821
37,2006,1,6070476,1719677,7790153
38,2006,2,5649722,1478279,7128001
39,2006,3,6896601,1817529,8714130
40,2006,4,6612783,1806197,8418980
41,2006,5,6803345,1812274,8615619
42,2006,6,6912250,1926660,8838910
43,2006,7,7031056,2155261,9186317
44,2006,8,6500972,2020918,8521890
45,2006,9,5672594,1583732,7256326
46,2006,10,6248099,1599153,7847252
47,2006,11,6108544,1583859,7692403
48,2006,12,6277613,1782922,8060535
49,2007,1,5909950,1768738,7678688
50,2007,2,5541254,1492680,7033934
51,2007,3,6732096,1844066,8576162
52,2007,4,6408708,1787122,8195830
53,2007,5,6680679,1767736,8448415
54,2007,6,6767908,1882689,8650597
55,2007,7,7027480,2092470,9119950
56,2007,8,6785998,2018412,8804410
57,2007,9,5859871,1653459,7513330
58,2007,10,6479379,1697201,8176580
59,2007,11,6279415,1700061,7979476
60,2007,12,6078965,1840017,7918982
61,2008,1,5850893,1813264,7664157
62,2008,2,5531829,1603099,7134928
63,2008,3,6337511,1899842,8237353
64,2008,4,5847967,1693703,7541670
65,2008,5,6491559,1826707,8318266
66,2008,6,6537176,1868045,8405221
67,2008,7,6750738,2048892,8799630
68,2008,8,6406449,2027656,8434105
69,2008,9,5241968,1518292,6760260
70,2008,10,5854321,1578522,7432843
71,2008,11,5130873,1584992,6715865
72,2008,12,5557555,1717136,7274691
73,2009,1,5046794,1646798,6693592
74,2009,2,4817178,1394746,6211924
75,2009,3,5788308,1634131,7422439
76,2009,4,5598830,1638680,7237510
77,2009,5,5659385,1561968,7221353
78,2009,6,5901624,1723349,7624973
79,2009,7,6235789,1922721,8158510
80,2009,8,5873874,1845142,7719016
81,2009,9,5068030,1441869,6509899
82,2009,10,5582936,1537370,7120306
83,2009,11,5177516,1505763,6683279
84,2009,12,5392231,1678815,7071046
85,2010,1,5071320,1623904,6695224
86,2010,2,4587189,1368464,5955653
87,2010,3,5826764,1676622,7503386
88,2010,4,5556542,1589256,7145798
89,2010,5,5668495,1706781,7375276
90,2010,6,5826063,1819741,7645804
91,2010,7,6019072,2044146,8063218
92,2010,8,5756912,1954418,7711330
93,2010,9,5120391,1570938,6691329
94,2010,10,5621810,1671953,7293763
95,2010,11,5271371,1597873,6869244
96,2010,12,5385462,1750643,7136105
97,2011,1,4984095,1721945,6706040
98,2011,2,4528400,1450789,5979189
99,2011,3,5672521,1749361,7421882
100,2011,4,5443337,1677494,7120831
101,2011,5,5620742,1738519,7359261
102,2011,6,5859655,1855489,7715144
103,2011,7,6076925,2108152,8185077
104,2011,8,5717545,1928311,7645856
105,2011,9,5277512,1573058,6850570
106,2011,10,5597937,1636251,7234188
107,2011,11,5237700,1571807,6809507
108,2011,12,5217199,1791107,7008306
109,2012,1,4997279,1772562,6769841
110,2012,2,4867812,1547404,6415216
111,2012,3,5799813,1805382,7605195
112,2012,4,5407854,1720613,7128467
113,2012,5,5810112,1752991,7563103
114,2012,6,5763314,1877300,7640614
115,2012,7,5862790,2118354,7981144
116,2012,8,5670333,1962848,7633181
117,2012,9,4927838,1632458,6560296
118,2012,10,5307352,1638952,6946304
119,2012,11,5217765,1663385,6881150
120,2012,12,5377297,1828984,7206281
121,2013,1,5195596,1781780,6977376
122,2013,2,4822406,1537307,6359713
123,2013,3,5673163,1872393,7545556
124,2013,4,5349248,1686536,7035784
125,2013,5,5661503,1796344,7457847
126,2013,6,5766511,1953480,7719991
127,2013,7,5904915,2168377,8073292
128,2013,8,5717993,2068984,7786977
129,2013,9,5004226,1634307,6638533
130,2013,10,5537823,1687648,7225471
131,2013,11,5039567,1630630,6670197
132,2013,12,5379304,1950554,7329858
133,2014,1,5222881,1881402,7104283
134,2014,2,4816811,1558364,6375175
135,2014,3,5741624,1807255,7548879
136,2014,4,5501405,1767296,7268701
137,2014,5,5767256,1820960,7588216
138,2014,6,5935921,1918545,7854466
139,2014,7,6137012,2106182,8243194
140,2014,8,5846685,1969771,7816456
141,2014,9,5163078,1549901,6712979
142,2014,10,5586600,1599344,7185944
