RPM ID,YEAR,MONTH,DOMESTIC(IN THOUSANDS),INTERNATIONAL(IN THOUSANDS),TOTAL(IN THOUSANDS)
1,2003,1,6428843,2976704,9405547
2,2003,2,5861473,2493611,8355084
3,2003,3,7095490,2886137,9981627
4,2003,4,6764567,2561054,9325622
5,2003,5,7055380,2783080,9838460
6,2003,6,7547830,3306066,10853896
7,2003,7,8192931,3767023,11959953
8,2003,8,7923807,3752936,11676743
9,2003,9,6015739,2981061,8996800
10,2003,10,6823007,2989832,9812839
11,2003,11,6345182,3032221,9377403
12,2003,12,6932879,3409352,10342231
13,2004,1,6463552,3304365,9767917
14,2004,2,6458121,2913449,9371570
15,2004,3,7596733,3466124,11062857
16,2004,4,7412197,3406687,10818884
17,2004,5,7168145,3556862,10725007
18,2004,6,7830261,3911727,11741988
19,2004,7,8170618,4420268,12590886
20,2004,8,7909314,4268443,12177757
21,2004,9,6353111,3489849,9842960
22,2004,10,7124411,3586650,10711061
23,2004,11,6819002,3333751,10152753
24,2004,12,7202828,3772126,10974955
25,2005,1,6809753,3748104,10557858
26,2005,2,6365427,3232996,9598423
27,2005,3,7964044,4098787,12062831
28,2005,4,7435692,3866996,11302688
29,2005,5,7700682,4100162,11800844
30,2005,6,8224043,4433929,12657972
31,2005,7,8671965,4938976,13610941
32,2005,8,8044404,4595541,12639945
33,2005,9,6841868,3893433,10735301
34,2005,10,7130337,3737886,10868223
35,2005,11,7250039,3572236,10822276
36,2005,12,7398547,4081204,11479750
37,2006,1,7042279,3983437,11025716
38,2006,2,6492132,3365286,9857418
39,2006,3,7881341,4213465,12094806
40,2006,4,7672135,4259292,11931427
41,2006,5,7842874,4397100,12239974
42,2006,6,8005693,4650363,12656056
43,2006,7,8277155,5016360,13293515
44,2006,8,7739014,4728876,12467889
45,2006,9,6576768,4015197,10591965
46,2006,10,7152613,3967777,11120389
47,2006,11,7010882,3692636,10703518
48,2006,12,7238989,4109869,11348858
49,2007,1,6845494,4047266,10892760
50,2007,2,6328448,3402171,9730619
51,2007,3,7679511,4247042,11926553
52,2007,4,7393504,4148698,11542202
53,2007,5,7649605,4234342,11883947
54,2007,6,7766800,4455038,12221838
55,2007,7,8101986,4800023,12902009
56,2007,8,7872221,4644088,12516309
57,2007,9,6738623,4106348,10844971
58,2007,10,7372676,4144331,11517008
59,2007,11,7155686,3984400,11140086
60,2007,12,6944294,4288129,11232423
61,2008,1,6702338,4206991,10909328
62,2008,2,6290485,3684299,9974784
63,2008,3,7231640,4352908,11584548
64,2008,4,6778898,4004946,10783844
65,2008,5,7411767,4342223,11753990
66,2008,6,7422810,4420370,11843180
67,2008,7,7705085,4752305,12457390
68,2008,8,7453479,4701628,12155106
69,2008,9,5958049,3893537,9851587
70,2008,10,6524447,3982697,10507144
71,2008,11,5767769,3763295,9531065
72,2008,12,6269556,4041675,10311230
73,2009,1,5758311,3875131,9633441
74,2009,2,5423595,3201759,8625354
75,2009,3,6463616,3852017,10315633
76,2009,4,6362816,3915409,10278224
77,2009,5,6423240,3952143,10375383
78,2009,6,6654782,4233205,10887987
79,2009,7,7045434,4605255,11650689
80,2009,8,6742306,4422258,11164564
81,2009,9,5800276,3709963,9510238
82,2009,10,6311910,3922000,10233910
83,2009,11,5849659,3633492,9483151
84,2009,12,6130910,4014619,10145529
85,2010,1,5788197,3879885,9668082
86,2010,2,5208159,3226651,8434810
87,2010,3,6576526,3992189,10568715
88,2010,4,6370718,3778789,10149507
89,2010,5,6503972,4298527,10802499
90,2010,6,6721789,4517970,11239759
91,2010,7,7012956,4955570,11968526
92,2010,8,6775813,4726547,11502360
93,2010,9,5887556,4158904,10046461
94,2010,10,6402442,4358674,10761117
95,2010,11,6002024,3900582,9902606
96,2010,12,6159400,4166252,10325652
97,2011,1,5751180,4112265,9863445
98,2011,2,5214520,3409496,8624016
99,2011,3,6464134,4189540,10653674
100,2011,4,6253454,4171610,10425064
101,2011,5,6450198,4499141,10949339
102,2011,6,6672824,4713533,11386356
103,2011,7,6962544,5204726,12167270
104,2011,8,6603003,4850874,11453877
105,2011,9,5987382,4258080,10245462
106,2011,10,6290268,4354648,10644916
107,2011,11,5898943,3833821,9732764
108,2011,12,5920130,4305382,10225513
109,2012,1,5681097,4317027,9998124
110,2012,2,5438515,3707329,9145844
111,2012,3,6449823,4342545,10792368
112,2012,4,6101035,4254080,10355115
113,2012,5,6511064,4456778,10967841
114,2012,6,6520013,4719148,11239161
115,2012,7,6757687,5134163,11891849
116,2012,8,6546034,4888410,11434444
117,2012,9,5561085,4382598,9943683
118,2012,10,5903653,4327207,10230860
119,2012,11,5821209,4013845,9835053
120,2012,12,6058139,4403901,10462041
121,2013,1,5850422,4331289,10181711
122,2013,2,5366207,3678439,9044646
123,2013,3,6367153,4526042,10893195
124,2013,4,6018419,4228564,10246983
125,2013,5,6367838,4683466,11051303
126,2013,6,6543687,4982259,11525946
127,2013,7,6779423,5405024,12184447
128,2013,8,6589749,5215068,11804818
129,2013,9,5586560,4472924,10059483
130,2013,10,6115918,4537648,10653566
131,2013,11,5615301,4082535,9697836
132,2013,12,6141818,4814521,10956339
133,2014,1,5855490,4683817,10539307
134,2014,2,5354370,3782658,9137028
135,2014,3,6418910,4460242,10879152
136,2014,4,6154306,4457167,10611474
137,2014,5,6372577,4792760,11165337
138,2014,6,6559785,5019978,11579763
139,2014,7,6878658,5368993,12247652
140,2014,8,6568778,5153947,11722725
141,2014,9,5675041,4350554,10025595
142,2014,10,6113216,4480504,10593720
143,2014,11,5631228,4095405,9726633
144,2014,12,6252968,4736618,10989586
145,2015,1,5764332,4579595,10343927
146,2015,2,5229802,3820805,9050607
147,2015,3,6409848,4459987,10869835
148,2015,4,6329715,4283539,10613255
149,2015,5,6376394,4855932,11232327
150,2015,6,6765754,5148219,11913973
151,2015,7,12080458,7491313,19571771
152,2015,8,11565487,7332391,18897877
153,2015,9,9944645,6204563,16149208
154,2015,10,10682605,6194019,16876624
155,2015,11,9901405,5083367,14984772
156,2015,12,10453499,5941867,16395366
157,2016,1,9667771,5644933,15312703
158,2016,2,9204588,4738836,13943424
159,2016,3,11038832,5884890,16923722
160,2016,4,10244532,5733209,15977741
161,2016,5,10933732,6351637,17285369
162,2016,6,11763266,6852973,18616238
163,2016,7,12008604,7412263,19420867
164,2016,8,11189609,7050152,18239760
165,2016,9,9760321,6005402,15765724
166,2016,10,10254956,6077773,16332729
167,2016,11,9774853,5066278,14841131
168,2016,12,10191708,5981310,16173017
169,2017,1,9550002,5599716,15149718
170,2017,2,8783061,4595620,13378681
171,2017,3,10889247,5779285,16668532
172,2017,4,10201138,6356334,16557472
